Date,Harga Asli,Harga Prediksi,Selisih (Rp),Error (%)
2024-01-02,8834.9384765625,8840.419795012807,-5.481318450307299,0.06204138789249352
2024-01-03,8764.6328125,8842.92113432015,-78.28832182014958,0.8932299104247223
2024-01-04,8881.8076171875,8860.794101919408,21.013515268092306,0.23659052496733107
2024-01-05,8975.5478515625,8893.781817304163,81.76603425833673,0.9109865560362709
2024-01-08,8975.5478515625,8925.84639825857,49.701453303929156,0.5537428369375461
2024-01-09,9022.416015625,8963.337968098822,59.078047526178125,0.6547918808428573
2024-01-10,8952.111328125,9000.811037032676,-48.69970890767581,0.5440024941901148
2024-01-11,8975.5478515625,9016.710012753363,-41.16216119086312,0.4586033284162976
2024-01-12,9092.7216796875,9036.75557943452,55.96610025297923,0.6155043805861072
2024-01-15,9116.1552734375,9061.805919646959,54.3493537905415,0.596187232011106
2024-01-16,9092.7216796875,9071.427413243237,21.294266444263485,0.2341902369213981
2024-01-17,9139.5908203125,9110.210868110731,29.3799522017689,0.32145806939707555
2024-01-18,9069.287109375,9128.632734009221,-59.34562463422117,0.6543582082970456
2024-01-19,9022.416015625,9110.176299898929,-87.76028427392885,0.9726916174331329
2024-01-22,9022.416015625,9086.585383599035,-64.16936797403469,0.7112215604213585
2024-01-23,8998.982421875,9063.380599053133,-64.39817717813276,0.7156162125796769
2024-01-24,8928.6767578125,9014.043408318157,-85.36665050565716,0.9560952067277183
2024-01-25,8905.2421875,8975.730026276451,-70.4878387764511,0.7915319683881545
2024-01-26,8764.6328125,8917.652722449355,-153.01990994935477,1.74587929948554
2024-01-29,8952.111328125,8901.305180415344,50.806147709656216,0.5675325724562615
2024-01-30,9045.8515625,8910.637021747923,135.21454075207657,1.4947685114866882
2024-01-31,8952.111328125,8914.728245623828,37.383082501171884,0.4175895621821058
2024-02-01,9092.7216796875,8956.135882245257,136.58579744224335,1.5021442671820298
2024-02-02,9092.7216796875,9030.108427049137,62.61325263836261,0.6886084809814008
2024-02-05,8975.5478515625,9035.703020668487,-60.155169105986715,0.670211669536302
2024-02-06,9022.416015625,9030.350602111102,-7.934586486102489,0.08794303512896534
2024-02-07,9092.7216796875,9061.447858576033,31.273821111466532,0.3439434551409403
2024-02-12,9186.4599609375,9081.470887855714,104.98907308178605,1.1428675847738812
2024-02-13,9116.1552734375,9086.545473905695,29.609799531805038,0.3248057831801261
2024-02-15,9233.330078125,9144.786028781527,88.54404934347258,0.9589611612959157
2024-02-16,9327.0693359375,9212.79259053431,114.27674540318912,1.2252159953703479
2024-02-19,9256.765625,9249.4969588668,7.268666133200895,0.07852274139436144
2024-02-20,9397.3740234375,9295.478962102297,101.89506133520263,1.0842929214168924
2024-02-21,9350.5048828125,9346.66928555166,3.8355972608405864,0.04102021558098896
2024-02-22,9256.765625,9350.517320528597,-93.75169552859734,1.0127910690036224
2024-02-23,9209.8955078125,9322.288450389438,-112.39294257693837,1.2203498126726686
2024-02-26,9186.4599609375,9304.319304327204,-117.85934338970401,1.28296801913755
2024-02-27,9256.765625,9269.729153881832,-12.963528881831735,0.14004382747707017
2024-02-28,9373.939453125,9270.45674586279,103.48270726221017,1.1039404273910904
2024-02-29,9256.765625,9268.13043599618,-11.364810996179585,0.12277302306851466
2024-03-01,9209.8955078125,9266.909846844428,-57.0143390319281,0.6190552214578809
2024-03-04,9139.5908203125,9254.801668764307,-115.21084845180667,1.2605689982942516
2024-03-05,9186.4599609375,9237.79894306816,-51.33898213065913,0.5588549054691561
2024-03-06,9327.0693359375,9225.713946760752,101.35538917674785,1.0866799154823719
2024-03-07,9491.1123046875,9275.597557991368,215.51474669613162,2.2707006278883934
2024-03-08,9514.548828125,9341.674919861554,172.87390826344563,1.8169427829560394
2024-03-13,9373.939453125,9393.529223777281,-19.589770652281004,0.20898119462197232
2024-03-14,9678.5927734375,9503.410570162767,175.18220327473318,1.809996632521967
2024-03-15,9514.548828125,9543.682516506353,-29.13368838135284,0.3062014700606052
2024-03-18,9514.548828125,9546.92021080921,-32.3713826842104,0.34023034900531085
2024-03-19,9537.9833984375,9550.696784813197,-12.713386375697155,0.13329218394089307
2024-03-20,9491.1123046875,9575.752959355435,-84.64065466793545,0.8917885696719958
2024-03-21,9491.1123046875,9532.054097956629,-40.94179326912854,0.4313698116174232
2024-03-22,9467.6787109375,9520.493734330681,-52.815023393181036,0.5578455396058876
2024-03-25,9661.8759765625,9551.51169109956,110.36428546293973,1.1422655986338288
2024-03-26,9637.9013671875,9571.26022720211,66.6411399853896,0.6914486613472844
2024-03-27,9661.8759765625,9606.858766797577,55.01720976492288,0.5694257502205787
2024-03-28,9661.8759765625,9642.960026414381,18.91595014811901,0.19577926889151523
2024-04-01,9446.1015625,9637.961234012884,-191.85967151288423,2.031098969701388
2024-04-02,9494.0517578125,9597.78507091834,-103.73331310584035,1.0926137307022779
2024-04-03,9134.427734375,9484.657609875867,-350.2298755008669,3.8341742437007795
2024-04-04,9446.1015625,9434.031986160924,12.069576339075866,0.1277730951675427
2024-04-05,9422.126953125,9377.606260597699,44.520692527301435,0.47251212755667055
2024-04-16,9086.478515625,9297.941374122405,-211.46285849740525,2.3272256477993785
2024-04-17,9134.427734375,9218.116383925422,-83.68864955042227,0.916189300348638
2024-04-18,9086.478515625,9210.198542893067,-123.7200272680675,1.361583885939091
2024-04-19,9086.478515625,9129.986339580977,-43.507823955977074,0.4788194225206337
2024-04-22,8966.603515625,9030.159554509897,-63.556038884897134,0.7088083996816166
2024-04-23,9326.2275390625,9087.42793801572,238.79960104677957,2.5605165652090065
