Date,Adj Close,Close,High,Low,Open,Volume,Return,MA_5,MA_20,Volatilitas
2018-01-29,2390.65185546875,3454.48583984375,3499.939453125,3418.122802734375,3499.939453125,134887519,-0.012986858519222766,2412.041796875,2296.2838134765625,0.020209516377394775
2018-01-30,2340.322265625,3381.759765625,3454.48583984375,3372.6689453125,3454.48583984375,197268607,-0.021052663828327045,2386.877099609375,2299.1148681640625,0.02085627324769199
2018-01-31,2327.73974609375,3363.578369140625,3381.759765625,3299.943115234375,3363.578369140625,289533250,-0.005376404658479661,2370.519921875,2301.9458984375,0.0208539650427367
2018-02-01,2327.73974609375,3363.578369140625,3418.122802734375,3363.578369140625,3390.8505859375,160147366,0.0,2361.71220703125,2306.664270019531,0.02042340656388335
2018-02-02,2352.904541015625,3399.941162109375,3409.031982421875,3372.6689453125,3399.941162109375,125526688,0.01081082838582148,2347.871630859375,2311.382678222656,0.02041306795693966
2018-02-05,2378.069580078125,3436.30419921875,3445.39501953125,3318.12451171875,3318.12451171875,123946840,0.010695308128241265,2345.35517578125,2317.359338378906,0.020491215532918404
2018-02-06,2315.1572265625,3345.396728515625,3381.759765625,3327.21533203125,3354.487548828125,286316245,-0.026455219831523213,2340.32216796875,2320.8194946289063,0.021448691451912617
2018-02-07,2327.73974609375,3363.578369140625,3409.031982421875,3363.578369140625,3372.6689453125,151721770,0.005434844505110448,2340.32216796875,2326.1670043945314,0.02124223085770144
2018-02-08,2340.322265625,3381.759765625,3390.8505859375,3345.396728515625,3345.396728515625,122222231,0.005405466634474498,2342.838671875,2331.8290771484376,0.02125173496120213
2018-02-09,2334.03125,3372.6689453125,3390.8505859375,3345.396728515625,3354.487548828125,102455989,-0.0026880980100062457,2339.064013671875,2337.1765991210937,0.02127814092111549
2018-02-12,2390.65185546875,3454.48583984375,3454.48583984375,3363.578369140625,3363.578369140625,89670248,0.02425871781654587,2341.58046875,2345.040576171875,0.02182504515592121
2018-02-13,2440.98095703125,3527.2119140625,3536.302490234375,3463.576416015625,3463.576416015625,119062096,0.021052459582255434,2366.74521484375,2353.5336669921876,0.021977115387362255
2018-02-14,2428.3984375,3509.0302734375,3554.484130859375,3481.758056640625,3545.393310546875,74433005,-0.005154697948382636,2386.876953125,2360.7685302734376,0.022063435510574488
2018-02-15,2415.81640625,3490.848876953125,3518.12109375,3472.667236328125,3509.0302734375,58183854,-0.005181205462705285,2401.97578125,2367.6888427734375,0.0221051264973123
2018-02-16,2415.81640625,3490.848876953125,3490.848876953125,3490.848876953125,3490.848876953125,0,0.0,2418.3328125,2374.6091552734374,0.0221051264973123
2018-02-19,2428.3984375,3509.0302734375,3509.0302734375,3472.667236328125,3499.939453125,69751104,0.005208190166044346,2425.88212890625,2381.214892578125,0.022078396602273172
2018-02-20,2390.65185546875,3454.48583984375,3509.0302734375,3436.30419921875,3490.848876953125,100658888,-0.015543817459423792,2415.81630859375,2377.4401977539064,0.014819227995371895
2018-02-21,2390.65185546875,3454.48583984375,3454.48583984375,3409.031982421875,3454.48583984375,120299507,0.0,2408.2669921875,2376.4965087890623,0.013927712249871107
2018-02-22,2371.7783203125,3427.213623046875,3445.39501953125,3418.122802734375,3436.30419921875,114220142,-0.007894723404863746,2399.459375,2376.4965087890623,0.013580573068387357
2018-02-23,2384.360595703125,3445.39501953125,3463.576416015625,3418.122802734375,3418.122802734375,118526277,0.005304996374605242,2393.168212890625,2374.609167480469,0.01271589695945771
2018-02-26,2352.904541015625,3399.941162109375,3445.39501953125,3390.8505859375,3409.031982421875,107300693,-0.013192658335399066,2378.06943359375,2372.7218017578125,0.012726435033355618
